id,question,source_category,source_document,reference_answer
1,What reasoning does Goldman Sachs offer for why the current AI-driven earnings surprise cycle may be nearing its peak?,Yahoo Finance,data/yfinance/clean-mds/Goldman Warns AI Earnings Surprise Wave May Fade Despite 22_ Growth Forecast.md,"Goldman Sachs warns that the AI-fueled earnings surprise cycle may be hard to repeat because the bar for this earnings season is already high, and while companies are likely to beat expectations, investors will pay closer attention to outlooks and management commentary. Additionally, the large AI capex-linked earnings surprise wave appears to be closer to its end, suggesting the market may require stronger forward-looking signals before pricing in another major rally."
2,"Which key modelling assumptions—such as revenue growth, net profit margin, and P/E multiple—were revised in analysts' updated Infosys fair value estimate?",Yahoo Finance,data/yfinance/clean-mds/Infosys (NSEI_INFY) Stock Sees Modest Fair Value Cut As AI Hopes Meet Choppy Demand.md,"The revenue growth assumption was adjusted from 4.05% to 3.70%, the net profit margin assumption was updated from 16.22% to 16.29%, the future P/E multiple was changed from 24.1x to 23.1x, and the discount rate was updated from 15.15% to 15.20%."
3,What is the target fund size and sector focus of Fundamentum's third fund being launched after Nandan Nilekani's departure from the GP role?,Yahoo Finance,data/yfinance/clean-mds/Nandan Nilekani leaves GP role at Fundamentum as it launches $200M third fund.md,"Fundamentum's third fund is targeting about $200 million and focuses on early-stage startups building consumer technology, fintech, and AI products."
4,What FY27 revenue growth guidance has Infosys provided and what structural or macro headwinds are already baked into that outlook?,Trendlyne,data/trendlyne/clean-mds/04abf21d4c5f4cd19d29464f51dc527b-24042026.md,"Infosys has provided FY27 revenue growth guidance of 1.5%-3.5% CC. The structural headwinds baked into this outlook include a 75-100 bps drag from a European manufacturing client ramp-down and further onsite-mix reductions, which are expected to contribute an additional 75-100 bps impact."
5,"How does Infosys's valuation compare with peers such as TCS and HCL Technologies on earnings and enterprise value multiples like P/E, PEG, and EV/EBITDA?",Trendlyne,data/trendlyne/clean-mds/INFY-StockReport-20260709-2007.md,"Infosys's valuation metrics compared to peers are as follows:

- **P/E Ratio TTM**: Infosys 14.5, TCS 14.9, HCL Technologies 18.8, Wipro 13.7, Tech Mahindra 29.1.
- **PEG Ratio TTM**: Infosys 1.4, TCS 13.9, HCL Technologies -4.4, Wipro 29.1, Tech Mahindra 2.2.
- **EV/EBITDA**: Infosys 10.4, TCS 11.0, HCL Technologies 12.1, Wipro 9.4, Tech Mahindra 13.0.

Infosys has the highest Valuation score (46.3) among its peers, followed by Wipro (45.0), TCS (41.5), and HCL Technologies (40.5)."
6,What are the primary risks to Infosys's earnings trajectory that ICICI Direct flags in its HOLD-rated research note?,Trendlyne,data/trendlyne/clean-mds/idirect_infosys_q4fy26.md,The primary risks to Infosys's earnings trajectory that ICICI Direct flags include prolonged macroeconomic uncertainty with weakness in discretionary spend and higher than expected volume-led revenue growth.
7,"How did Infosys revise its full-year FY26 constant-currency revenue growth guidance after Q1 results, and what operating margin target accompanies that guidance?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_001.md,FY26 constant-currency growth guidance was revised from 0%-3% to 1%-3%. FY26 operating-margin guidance remained unchanged at 20%-22%.
8,"What reasons does Infosys management give for expecting H1 FY26 to outperform H2, and what assumptions underpin the upper and lower ends of the guidance range?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_004.md,"Infosys management expects H1 FY26 to outperform H2 due to usual seasonality, supported by a strong Q1 performance compared to other market results. The guidance range is underpinned by multiple models: the lower end reflects higher uncertainty from current conditions, while the upper end assumes a stable environment. The upper end was slightly lowered due to a more conservative view of the environment and observed business factors, as the company does not see significant changes in the environment after Q1."
9,"What was the total contract value of large deals Infosys closed in Q3 FY26, and what share of that TCV represented net new business?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-earningscall/group_001.md,"The total contract value of large deals Infosys closed in Q3 FY26 was $4.8 billion, with 57% representing net new business."
10,Which Infosys business verticals does management flag as having the clearest demand visibility and growth momentum heading into FY27?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-earningscall/group_003.md,"Energy, Utilities, Resources and Services and Financial Services are the business verticals that management flags as having the clearest demand visibility and growth momentum heading into FY27."
