id,query,llm_answer,reference_answer,rouge_l_f1,semantic_similarity
1,What strategic benefits does the Sentara partnership bring to Infosys in the healthcare sector?,"The partnership with Sentara brings several strategic benefits to Infosys in the healthcare sector, including:

1. **Building a Strong Enterprise AI Foundation**: The collaboration focuses on creating a scalable framework for AI-driven transformation, enhancing operational efficiency across hospital operations, IT, and clinical support.

2. **Unlocking AI Value**: By integrating Infosys Topaz Fabric, the partnership aims to operationalize AI initiatives that prioritize high-value use cases and scale successful pilots.

3. **Enhancing Patient and Staff Experience**: The initiative aims to embed AI in day-to-day workflows, improving speed, consistency, and resilience while maintaining a focus on patient and caregiver experience.

4. **Responsible AI Adoption**: The collaboration emphasizes responsible AI design and operational readiness, enabling a transition from experimentation to production across healthcare systems.

5. **Alignment with Real-World Healthcare Priorities**: The strategic approach aligns AI initiatives to care management, employee productivity, and digital front-office experiences, ensuring they meet the needs of healthcare providers and patients.

6. **Expanding Market Presence**: The partnership enhances Infosys' presence and reputation within the healthcare sector, positioning it as a leader in AI-driven healthcare solutions.","The Sentara partnership helps Infosys strengthen its healthcare AI position by applying its AI-first consulting and technology services to a major not-for-profit health system. It enables Infosys to demonstrate scalable enterprise AI adoption in healthcare through Infosys Topaz Fabric, spanning architecture, governance, AI-first delivery models, IT, hospital operations, clinical support, care management, employee productivity, and digital front-office experiences. The collaboration also supports Infosys’ goal of delivering measurable clinical, operational, and digital value through responsible AI adoption at scale.",0.2037735849056604,0.9088771939277649
2,How is Infosys using Topaz Fabric to accelerate AI adoption for enterprise customers?,"Infosys is using Topaz Fabric to accelerate AI adoption for enterprise customers by providing a stack of layered, composable, open, and interoperable data infrastructure, models, agents, flows, and AI applications. This enables enterprises to access services-as-software both integrated and modularly through a comprehensive one-shop, helping to unify and accelerate IT service delivery. Infosys Topaz Fabric includes over 50 purpose-built AI agents for IT operations with out-of-the-box integration with nine enterprise platforms.

The collaboration with AI solution providers, such as AWS and OpenAI, enhances the capabilities of Infosys Topaz to drive AI-powered transformations across key functions like software development, HR, and recruitment. By integrating advanced AI capabilities, Infosys aims to streamline complex tasks, accelerate project timelines, and enhance employee experiences, ultimately driving productivity and innovation for their clients.","Infosys is using Topaz Fabric as a purpose-built agentic services suite to unify infrastructure, models, data, applications, and workflows into a composable, agent-ready ecosystem. For enterprise customers such as Sentara, it supports AI strategy and road-mapping, reference architectures, AI-first SDLC modernization, governance for scaling, responsible AI design, enterprise guardrails, and operational readiness. This helps move AI from experimentation to production, prioritize high-value use cases, scale successful pilots, and embed AI across core hospital, enterprise, business operations, and IT workflows.",0.2100456621004566,0.8643175363540649
3,What impact is the acquisition of Optimum Healthcare IT expected to have on Infosys' healthcare business?,"The acquisition of Optimum Healthcare IT is expected to expand Infosys’ healthcare capabilities and strengthen its presence in the healthcare provider segment. It will enhance Infosys' client relationships, technology capabilities, and access to new buying centers. The combined offerings will provide healthcare providers with access to Infosys Topaz AI offerings, Infosys Cobalt cloud offerings, cloud engineering, infrastructure services, cybersecurity, and application transformation. It aims to support AI-powered cloud and digital transformation for healthcare providers, improving patient experiences through data-driven, personalized care while driving greater operational efficiency and cost optimization.","The acquisition is expected to strengthen Infosys’ healthcare capabilities, significantly enhance its presence in the provider segment, add new clients and relationships, expand technology capabilities, and create synergies across new buying centers. By combining Optimum’s provider expertise with Infosys Topaz and Infosys Cobalt, Infosys aims to accelerate end-to-end cloud, data, and digital transformation for healthcare providers at scale.",0.5,0.8794121742248535
4,What ERP transformation work is Infosys carrying out for IHH Healthcare?,"Infosys is helping IHH Healthcare with a multi-year, enterprise-wide ERP transformation program. This collaboration will enable IHH to standardize and harmonize business processes across all its markets, starting with Hong Kong, Malaysia, and Singapore. The transformation aims to streamline operations, enhance agility and scalability, optimize costs, and strengthen regulatory compliance. Infosys will consolidate IHH's legacy, siloed ERP landscape by integrating critical functions such as finance, procurement, supply chain, human capital management, and enterprise performance management. This integration will provide IHH with enhanced real-time data visibility and decision intelligence to support faster and insight-led decision-making.","Infosys is carrying out a multi-year, enterprise-wide, AI-powered ERP transformation for IHH Healthcare. The work includes standardizing and harmonizing business processes across IHH’s markets, starting with Hong Kong, Malaysia, and Singapore; consolidating legacy, siloed ERP systems; and integrating finance, procurement, supply chain, human capital management, and enterprise performance management. Powered by Infosys Topaz, the program is intended to embed AI into core workflows, improve real-time data visibility and decision intelligence, streamline operations, increase agility and scalability, optimize costs, and strengthen regulatory compliance.",0.5133689839572193,0.9113851189613342
5,Why was Infosys recognized as a Leader in Everest Group's Adobe Services PEAK Matrix assessment?,"Infosys was recognized as a Leader and Star Performer in Everest Group's Adobe Services PEAK Matrix Assessment 2025 due to its remarkable growth, delivery excellence, and client impact within the global Adobe services ecosystem. The recognition reflects Infosys' ability to deliver large-scale, complex, and end-to-end Adobe programs, which are supported by its advisory depth, global delivery networks, certified talent pools, and broad product specializations.","Infosys was recognized as a Leader and Star Performer for its remarkable growth, delivery excellence, and client impact in the global Adobe services ecosystem. It demonstrated robust market adoption, visible growth in Adobe services revenue, expanded client traction across North America and Europe, and the ability to deliver large-scale, complex, end-to-end Adobe programs supported by advisory depth, global delivery networks, certified talent pools, and broad product specializations. Its AI-amplified marketing suite, Infosys Aster, was also highlighted for excellence in capability, innovation, and client impact.",0.6153846153846153,0.7801421284675598
6,What services will Infosys provide under its expanded partnership with GlobalFoundries?,"Infosys will manage GlobalFoundries' end-to-end application, infrastructure, data, and service desk operations under its expanded partnership.","Infosys will deliver AI-led managed services across GlobalFoundries’ enterprise IT landscape, managing end-to-end application, infrastructure, data, and service desk operations.",0.6829268292682927,0.7611709833145142
7,How is Infosys helping DNB modernize its financial crime management platform?,"Infosys is helping DNB modernize its financial crime management platform by transforming fragmented, legacy systems into a unified, intelligence-driven, cloud-native platform using the NICE Actimize X-Sight Enterprise platform. This transformation enhances risk insights, improves detection accuracy, and strengthens multi-jurisdiction regulatory compliance. Infosys will lead the end-to-end modernization of DNB's FinCrime technology landscape, including enterprise architecture design, platform integration, and data migration, consolidating key functions such as customer and payment screening, customer due diligence, and transaction and fraud monitoring onto a single, scalable SaaS platform. By implementing AI-driven capabilities, Infosys aims to enhance detection accuracy, accelerate investigations with actionable insights, and improve DNB's response time to regulatory demands.","Infosys is helping DNB modernize its financial crime management platform by transforming fragmented legacy systems into a unified, intelligence-driven, cloud-native platform using NICE Actimize X-Sight Enterprise. As systems integration partner, Infosys will lead enterprise architecture design, platform integration, and data migration, consolidating customer and payment screening, customer due diligence, transaction monitoring, fraud monitoring, and enterprise case management onto a single scalable SaaS platform. The modernization is intended to improve risk insights, detection accuracy, multi-jurisdiction regulatory compliance, automation, investigations, and response time to regulatory demands.",0.6568627450980392,0.9327951073646545
8,"What exactly is Infosys Topaz Fabric, and what business problems is it designed to solve?","Infosys Topaz Fabric is a stack of layered, composable, open, and interoperable data infrastructure, models, agents, flows, and AI applications that help unify and accelerate IT service delivery across the enterprise landscape. It simplifies access to services-as-software, both integrated and modular, through a comprehensive one-shop.

The business problems Infosys Topaz Fabric is designed to solve include:

- **Unifying IT processes**: It reimagines IT processes and builds on existing IT investments.
- **Avoiding vendor lock-ins**: It brings together AI-led capabilities out-of-the-box while preventing dependency on specific vendors.
- **Accelerating enterprise value realization**: It aims to increase value from enterprise AI transformation programs.
- **Enhancing IT service delivery**: It addresses the need for high-quality IT services delivered at high speed and accuracy.
- **Augmenting human tasks and automating processes**: AI agents execute end-to-end workflows, eliminate or automate tasks, and assist humans in performing tasks, ensuring accuracy, governance, and ethical alignment.","Infosys Topaz Fabric is a layered, composable, open, and interoperable stack of data infrastructure, models, agents, flows, and AI apps for enterprise IT service delivery. It provides integrated and modular services-as-software through a one-shop model, with 50+ purpose-built IT operations agents and out-of-the-box integration with 9 enterprise platforms.

It is designed to help enterprises unify and accelerate IT service delivery, reimagine IT processes, build on existing IT investments, avoid vendor lock-ins, and accelerate value from enterprise AI transformation programs. It supports IT operations, transformation services, quality engineering, and cybersecurity, using AI agents with humans in the loop to automate or eliminate tasks, augment human work, improve speed and accuracy, strengthen resilience, increase automation for application and infrastructure support, and improve user experience.",0.45774647887323944,0.9241113662719727
9,"What was the issue behind the DGGI GST notice received by Infosys, and how did the company respond?","The issue behind the DGGI GST notice received by Infosys was alleged ineligible ITC refunds amounting to Rs 415 crore, based on the assertion that services provided by the Company's overseas branches were not considered export of services, making the claimed refund allegedly erroneous. 

In response, Infosys provided the relevant information to DGGI and had meetings with DGGI officials. After a pre-show cause was issued, the Company sought additional information and time to respond, which was not granted. Subsequently, Infosys filed a Writ Petition in the Hon'ble High Court of Karnataka on 19th September 2025, challenging the legitimacy of the show cause notice. The Company also stated that there is no tax demand against it regarding this matter and reiterated its compliance with all central and state laws and regulations concerning GST refunds.","DGGI alleged that services provided by Infosys’s overseas branches were not exports of services, making the company’s GST refund claim allegedly erroneous. The show cause notice was for Rs 414.88 crore, excluding interest and penalties.

Infosys said it had provided relevant information, met DGGI officials, sought additional documents and time after the pre-show cause notice, and later filed a writ petition in the Karnataka High Court on 19 September 2025 challenging the legitimacy of the show cause notice. It also stated that there was no tax demand against the company as of the statement date and reiterated its GST compliance.",0.5083333333333333,0.9338776469230652
10,What new capabilities does the Living Labs center in Hubballi add to Infosys' delivery network?,I could not find this information in the provided documents.,"It adds advanced digital delivery capabilities in AI, cloud computing, cybersecurity, engineering services, SAP, and space technology, with an AI-first Living Labs setup to help global clients accelerate innovation, future-proof their businesses, and transform industries across manufacturing, financial services, retail, and healthcare.",0.037037037037037035,0.046354345977306366
