id,query,source_category,source_document,llm_answer,llm_context_filepaths_top_3,embedding_latency_seconds,chroma_retrieval_latency_seconds,reranker_latency_seconds,llm_latency_seconds,overall_latency_seconds,pipeline_status,pipeline_error
1,What reasoning does Goldman Sachs offer for why the current AI-driven earnings surprise cycle may be nearing its peak?,Yahoo Finance,data/yfinance/clean-mds/Goldman Warns AI Earnings Surprise Wave May Fade Despite 22_ Growth Forecast.md,"Goldman Sachs suggests that the current AI-driven earnings surprise cycle may be nearing its peak due to the high expectations set for the upcoming earnings season. Christian Mueller-Glissmann, Goldman's head of asset allocation research, indicated that while companies are still likely to beat earnings expectations, the bar has been raised significantly. He noted that the large wave of AI-related earnings surprises appears to be close to its end, implying that the market may need stronger forward-looking signals before anticipating another major rally. Additionally, investors are expected to focus more on management outlooks and commentary rather than just headline earnings beats, indicating a shift in how earnings performance will be evaluated moving forward.",data/yfinance/clean-mds/Goldman Warns AI Earnings Surprise Wave May Fade Despite 22_ Growth Forecast.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_008.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_006.md,0.742,0.287,2.008,3.560,6.783,Success,
2,"Which key modelling assumptions—such as revenue growth, net profit margin, and P/E multiple—were revised in analysts' updated Infosys fair value estimate?",Yahoo Finance,data/yfinance/clean-mds/Infosys (NSEI_INFY) Stock Sees Modest Fair Value Cut As AI Hopes Meet Choppy Demand.md,"In the updated fair value estimate for Infosys, the following key modelling assumptions were revised:

- **Revenue growth**: Adjusted from 4.05% to 3.70%.
- **Net profit margin**: Updated from 16.22% to 16.29%.
- **Future P/E multiple**: Changed from 24.1x to 23.1x.",data/yfinance/clean-mds/Infosys (NSEI_INFY) Stock Sees Modest Fair Value Cut As AI Hopes Meet Choppy Demand.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_24022026183902_AIDayTranscript17022026/group_016.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_008.md,0.452,0.012,2.241,2.287,4.994,Success,
3,What is the target fund size and sector focus of Fundamentum's third fund being launched after Nandan Nilekani's departure from the GP role?,Yahoo Finance,data/yfinance/clean-mds/Nandan Nilekani leaves GP role at Fundamentum as it launches $200M third fund.md,"Fundamentum's third fund is targeting to raise about $200 million and will focus on backing early-stage startups in the consumer technology, fintech, and AI sectors.",data/yfinance/clean-mds/Nandan Nilekani leaves GP role at Fundamentum as it launches $200M third fund.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_30052026200807_SE_Integrated_Annual_Report_2025-26/group_164.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_30062026163341_SE_Infosys_45th_AGM_transcript/group_002.md,1.233,0.028,1.796,1.949,5.007,Success,
4,What FY27 revenue growth guidance has Infosys provided and what structural or macro headwinds are already baked into that outlook?,Trendlyne,data/trendlyne/clean-mds/04abf21d4c5f4cd19d29464f51dc527b-24042026.md,"Infosys has provided FY27 revenue growth guidance of 1% to 3%. The structural or macro headwinds already baked into this outlook include greater deterioration in the environment at the lower end and a steady to marginally improving environment at the upper end. Additionally, factors such as productivity benefits from AI, geopolitical tensions, cautious client spending, and specific challenges in sectors like Manufacturing and Europe are also considered in the guidance.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_003.md,4.667,0.008,1.488,2.217,8.381,Success,
5,"How does Infosys's valuation compare with peers such as TCS and HCL Technologies on earnings and enterprise value multiples like P/E, PEG, and EV/EBITDA?",Trendlyne,data/trendlyne/clean-mds/INFY-StockReport-20260709-2007.md,"Infosys's valuation metrics compared to peers like TCS and HCL Technologies are as follows:

- **P/E Ratio**: Infosys has a P/E ratio of 14.5, which is below the industry median.
- **PEG Ratio**: Infosys's PEG ratio is 1.4, indicating it is higher than 1, suggesting that its growth is not as favorable compared to its price.
- **EV/EBITDA**: The document does not provide specific EV/EBITDA values for Infosys, TCS, or HCL Technologies, so a direct comparison cannot be made.

In terms of durability scores, Infosys (70) is tied with HCL Technologies and has a higher score than TCS (55), indicating stronger financial health relative to these peers.",data/trendlyne/clean-mds/INFY-StockReport-20260709-2007.md | data/trendlyne/clean-mds/Info-RR-24042026-24-April-2026-1656297533.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_20012026132058_PR_20012026.md,1.633,0.014,1.475,3.227,6.349,Success,
6,What are the primary risks to Infosys's earnings trajectory that ICICI Direct flags in its HOLD-rated research note?,Trendlyne,data/trendlyne/clean-mds/idirect_infosys_q4fy26.md,"The primary risks to Infosys's earnings trajectory flagged by ICICI Direct in its HOLD-rated research note include:

1. **Prolonged macroeconomic uncertainty** leading to weakness in discretionary spending.
2. **Weak deal conversion and muted growth outlook**, particularly in discretionary-heavy verticals like Retail, Manufacturing, and Communications.
3. **Higher than expected volume-led revenue growth** which may not materialize.
4. **Margin pressures** from wage hikes, acquisition amortization, and investments in AI, which could limit margin upsides.
5. **Competitive intensity** affecting near-term earnings visibility.",data/trendlyne/clean-mds/idirect_infosys_q4fy26.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/INFY_15062026210015_Form20F_June152026/group_007.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_002.md,0.361,0.008,1.505,3.420,5.293,Success,
7,"How did Infosys revise its full-year FY26 constant-currency revenue growth guidance after Q1 results, and what operating margin target accompanies that guidance?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_001.md,"After Q1 results, Infosys revised its full-year FY26 constant-currency revenue growth guidance from 0%–3% to 1%–3%. The operating margin target remained unchanged at 20%–22%.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_001.md,0.346,0.009,1.538,1.799,3.694,Success,
8,"What reasons does Infosys management give for expecting H1 FY26 to outperform H2, and what assumptions underpin the upper and lower ends of the guidance range?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_004.md,"Infosys management expects H1 FY26 to outperform H2 due to the typical seasonal pattern where the second half is usually slower. They noted that the business environment remains uncertain, but the strong performance in Q2 FY26, including revenue growth and large deal wins, has increased their confidence. 

The assumptions underpinning the guidance range are as follows:
- The lower end of the guidance assumes a worsening environment.
- The upper end assumes stability in the environment. 

Management indicated that the current guidance reflects a balance between growth drivers, such as AI services and large deals, and compression factors, including productivity benefits sought by clients.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_21102025214121_SEfiling_Earningscalltranscript_q2/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_003.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_002.md,0.920,0.013,1.399,4.045,6.378,Success,
9,"What was the total contract value of large deals Infosys closed in Q3 FY26, and what share of that TCV represented net new business?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-earningscall/group_001.md,"The total contract value (TCV) of large deals Infosys closed in Q3 FY26 was $4.8 billion, with 57% of that representing net new business.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_14012026160405_BM_Outcome_January142026/group_014.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-ifrs-inr-press-release/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_005.md,2.667,0.008,1.461,2.487,6.623,Success,
10,Which Infosys business verticals does management flag as having the clearest demand visibility and growth momentum heading into FY27?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-earningscall/group_003.md,"Management flags the Financial Services, Energy, Utilities, and Resources sectors as having the clearest demand visibility and growth momentum heading into FY27.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_006.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_001.md,0.456,0.005,1.553,3.049,5.065,Success,
