id,query,source_category,source_document,llm_answer,llm_context_filepaths_top_3,embedding_latency_seconds,chroma_retrieval_latency_seconds,reranker_latency_seconds,llm_latency_seconds,overall_latency_seconds,pipeline_status,pipeline_error
1,What reasoning does Goldman Sachs offer for why the current AI-driven earnings surprise cycle may be nearing its peak?,Yahoo Finance,data/yfinance/clean-mds/Goldman Warns AI Earnings Surprise Wave May Fade Despite 22_ Growth Forecast.md,"Goldman Sachs suggests that the current AI-driven earnings surprise cycle may be nearing its peak due to several factors. Firstly, the bar for earnings expectations is already high, with a consensus forecast of 22% earnings growth for S&P 500 companies, making it challenging to achieve further surprises. Additionally, while companies are likely to continue beating expectations, the focus of investors is shifting towards outlooks and management commentary rather than just headline earnings beats. This indicates a need for stronger forward-looking signals to sustain market momentum. Furthermore, the large wave of AI-related capital expenditures appears to be reaching its conclusion, suggesting that the market may require new catalysts for another significant rally.",data/yfinance/clean-mds/Goldman Warns AI Earnings Surprise Wave May Fade Despite 22_ Growth Forecast.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_006.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_004.md,2.780,0.323,0.000,4.181,7.444,Success,
2,"Which key modelling assumptions—such as revenue growth, net profit margin, and P/E multiple—were revised in analysts' updated Infosys fair value estimate?",Yahoo Finance,data/yfinance/clean-mds/Infosys (NSEI_INFY) Stock Sees Modest Fair Value Cut As AI Hopes Meet Choppy Demand.md,"In the updated fair value estimate for Infosys, the following key modelling assumptions were revised:

- Revenue growth was adjusted from 4.05% to 3.70%.
- Net profit margin was updated from 16.22% to 16.29%.
- Future P/E multiple was changed from 24.1x to 23.1x.",data/yfinance/clean-mds/Infosys (NSEI_INFY) Stock Sees Modest Fair Value Cut As AI Hopes Meet Choppy Demand.md | data/trendlyne/clean-mds/Info-RR-24042026-24-April-2026-1656297533.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_22102025144043_SE_Draft_LOA_22102025/group_017.md,0.500,0.014,0.000,3.613,4.129,Success,
3,What is the target fund size and sector focus of Fundamentum's third fund being launched after Nandan Nilekani's departure from the GP role?,Yahoo Finance,data/yfinance/clean-mds/Nandan Nilekani leaves GP role at Fundamentum as it launches $200M third fund.md,"Fundamentum's third fund is targeting to raise about $200 million and will focus on backing early-stage startups in the consumer technology, fintech, and AI sectors.",data/yfinance/clean-mds/Nandan Nilekani leaves GP role at Fundamentum as it launches $200M third fund.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_30062026163341_SE_Infosys_45th_AGM_transcript/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_29052026201312_Infosys_Integrated_Annual_Report_2025-26/group_005.md,1.182,0.013,0.000,1.454,2.650,Success,
4,What FY27 revenue growth guidance has Infosys provided and what structural or macro headwinds are already baked into that outlook?,Trendlyne,data/trendlyne/clean-mds/04abf21d4c5f4cd19d29464f51dc527b-24042026.md,"Infosys has provided FY27 revenue growth guidance of 1.5% to 3.5% in constant currency. The structural or macro headwinds already baked into this outlook include:

1. **Deteriorating Environment**: The lower end of the guidance assumes greater deterioration in the economic environment.
2. **Geopolitical and Tariff Challenges**: Ongoing geopolitical conditions and elevated tariffs are impacting client behavior and discretionary spending.
3. **Productivity Compression**: There are productivity benefits from AI that clients are seeking, which may compress margins.
4. **Elongated Deal Cycles**: Clients are in a wait-and-watch mode, leading to elongated deal-signing cycles.

These factors reflect a cautious outlook despite some positive elements in the guidance.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-earningscall/group_003.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_23042026170027_outcome/group_019.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_003.md,1.332,0.014,0.000,2.645,3.992,Success,
5,"How does Infosys's valuation compare with peers such as TCS and HCL Technologies on earnings and enterprise value multiples like P/E, PEG, and EV/EBITDA?",Trendlyne,data/trendlyne/clean-mds/INFY-StockReport-20260709-2007.md,"Infosys's valuation metrics compared to peers like TCS and HCL Technologies are as follows:

- **P/E Ratio**: Infosys has a P/E ratio of 14.5, which is below the industry median.
- **PEG Ratio**: Infosys's PEG ratio is 1.4, indicating it is higher than 1, suggesting that its growth is not as favorable compared to its price.
- **EV/EBITDA**: The document does not provide specific EV/EBITDA values for Infosys, TCS, or HCL Technologies, so a direct comparison cannot be made.

In terms of durability scores, Infosys (70) is tied with HCL Technologies and has a higher score than TCS (55), indicating stronger financial health relative to these peers.",data/trendlyne/clean-mds/INFY-StockReport-20260709-2007.md | data/nse_files_final/whole_document_cleaning/equal_or_less_than_10_pages/Infosys_20012026132058_PR_20012026.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_024.md,0.732,0.008,0.000,6.920,7.661,Success,
6,What are the primary risks to Infosys's earnings trajectory that ICICI Direct flags in its HOLD-rated research note?,Trendlyne,data/trendlyne/clean-mds/idirect_infosys_q4fy26.md,"The primary risks to Infosys's earnings trajectory flagged by ICICI Direct in its HOLD-rated research note include:

1. Prolonged macroeconomic uncertainty leading to weakness in discretionary spending.
2. Higher than expected volume-led revenue growth, which may not materialize. 

Additionally, there are concerns about weak deal conversion, slower ramp-ups impacting near-term growth, and rising competitive intensity in certain sectors.",data/trendlyne/clean-mds/idirect_infosys_q4fy26.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_01072025210240_Form20F_July012025_1__1_/group_002.md | data/trendlyne/clean-mds/Info-RR-24042026-24-April-2026-1656297533.md,2.126,0.011,0.000,1.856,3.995,Success,
7,"How did Infosys revise its full-year FY26 constant-currency revenue growth guidance after Q1 results, and what operating margin target accompanies that guidance?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_001.md,"After Q1 results, Infosys revised its full-year FY26 constant-currency revenue growth guidance from 0%–3% to 1%–3%. The operating margin target accompanying that guidance remained unchanged at 20%–22%.",data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_27042026203405_Transcript_April232026_Q4/group_001.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-press-conference/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_28072025173504_SEfiling_Earningscalltranscript_28072025/group_001.md,1.564,0.005,0.000,2.552,4.122,Success,
8,"What reasons does Infosys management give for expecting H1 FY26 to outperform H2, and what assumptions underpin the upper and lower ends of the guidance range?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_004.md,"Infosys management expects H1 FY26 to outperform H2 due to normal seasonality, indicating that typically, the first half of the fiscal year sees stronger performance compared to the second half. The guidance range for revenue growth has been adjusted, with the lower end increased from 0% to 1% based on strong Q1 performance and deal wins. The upper end of the guidance remains unchanged due to ongoing uncertainties related to tariffs and the broader macroeconomic environment. Thus, the assumptions underpinning the guidance range include a cautious outlook for the lower end reflecting heightened uncertainty, and a steady to marginally improving environment for the upper end.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-earningscall/group_002.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q1-press-conference/group_003.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q32-earningscall/group_001.md,0.475,0.008,0.000,3.564,4.048,Success,
9,"What was the total contract value of large deals Infosys closed in Q3 FY26, and what share of that TCV represented net new business?",IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-earningscall/group_001.md,"The total contract value (TCV) of large deals Infosys closed in Q3 FY26 was $4.8 billion, with 57% of that TCV representing net new business.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-ifrs-inr-press-release/group_001.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_14012026160405_BM_Outcome_January142026/group_014.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-fact-sheet/group_001.md,2.117,0.009,0.000,1.673,3.801,Success,
10,Which Infosys business verticals does management flag as having the clearest demand visibility and growth momentum heading into FY27?,IR,data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-earningscall/group_003.md,"Management flags the following Infosys business verticals as having the clearest demand visibility and growth momentum heading into FY27:

1. **Financial Services** - Driven by large-deal wins and increased discretionary spending.
2. **EURS (Utilities and Energy)** - Increased discretionary demand is expected to support growth acceleration, particularly in utilities and energy sectors.",data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q3-earningscall/group_002.md | data/nse_files_final/knowledge_extraction/greater_than_10_pages/cleaned_section_files_1500_2500_v2/Infosys_19012026222220_SEfiling_Earningscalltranscript_19012026/group_006.md | data/infosys_earning_calls_press_conf_fact_sheets_results/cleaned_section_files_1500_2500_v2/FY26-Q4-ifrs-inr-press-release/group_001.md,1.207,0.011,0.000,2.921,4.142,Success,
