id,query,llm_answer,reference_answer,rouge_l_f1,semantic_similarity
1,What strategic benefits does the Sentara partnership bring to Infosys in the healthcare sector?,"The strategic collaboration with Sentara brings several benefits to Infosys in the healthcare sector, including:

1. **Building a Strong AI Foundation**: The partnership aims to establish a robust enterprise AI foundation, enhancing operational capabilities within healthcare settings.

2. **Unlocking AI Value**: It focuses on unlocking AI value by operationalizing innovations across hospital systems, translating into real efficiency gains for clinicians, staff, and patients.

3. **Scaling AI Use Cases**: The collaboration will help scale successful AI pilot programs to full production across enterprise systems.

4. **Supporting Clinicians and Staff**: By embedding AI into workflows, the initiative seeks to support healthcare professionals, leading to improved efficiency and care delivery.

5. **Enhancing Patient Experiences**: The collaboration is aimed at improving the experiences of patients and members through AI-driven solutions.

6. **Prioritizing High-Value Use Cases**: It allows Sentara to prioritize and govern high-value AI initiatives aligned with real-world healthcare priorities.

7. **Responsible AI Design**: Emphasizes responsible AI adoption and design, ensuring that AI solutions are deployed securely and in compliance with healthcare regulations.

8. **Operational Readiness**: The partnership enhances the operational readiness of healthcare systems to integrate AI effectively, moving from experimentation to production.

These benefits collectively position Infosys as a key player in transforming healthcare through AI, thus strengthening its presence in the industry.","The Sentara partnership helps Infosys strengthen its healthcare AI position by applying its AI-first consulting and technology services to a major not-for-profit health system. It enables Infosys to demonstrate scalable enterprise AI adoption in healthcare through Infosys Topaz Fabric, spanning architecture, governance, AI-first delivery models, IT, hospital operations, clinical support, care management, employee productivity, and digital front-office experiences. The collaboration also supports Infosys’ goal of delivering measurable clinical, operational, and digital value through responsible AI adoption at scale.",0.1610738255033557,0.8382017612457275
2,How is Infosys using Topaz Fabric to accelerate AI adoption for enterprise customers?,"Infosys is using Topaz Fabric to accelerate AI adoption for enterprise customers by providing a stack of layered, composable, open, and interoperable data infrastructure, models, agents, flows, and AI applications. This allows enterprises to access services-as-software both integrated and modular, helping to unify and accelerate IT service delivery across their landscape. Topaz Fabric delivers a variety of enterprise services including IT operations, transformation services, quality engineering services, and cybersecurity services, with over 50 purpose-built AI agents that integrate with nine enterprise platforms.

The collaboration of Infosys Topaz Fabric with various partners, such as AWS and Cognition, further enhances its capabilities to drive AI-powered transformations across key functions. Additionally, Infosys integrates advanced AI capabilities to streamline complex tasks, improve efficiency, and drive productivity for its clients, enabling better delivery and support for tasks like software development, HR, recruitment, and vendor management. The emphasis on combining AI agents with human oversight ensures the delivery of high-quality IT services with speed and accuracy, thus facilitating a smooth transition for enterprises into AI adoption.","Infosys is using Topaz Fabric as a purpose-built agentic services suite to unify infrastructure, models, data, applications, and workflows into a composable, agent-ready ecosystem. For enterprise customers such as Sentara, it supports AI strategy and road-mapping, reference architectures, AI-first SDLC modernization, governance for scaling, responsible AI design, enterprise guardrails, and operational readiness. This helps move AI from experimentation to production, prioritize high-value use cases, scale successful pilots, and embed AI across core hospital, enterprise, business operations, and IT workflows.",0.18532818532818535,0.8610692024230957
3,What impact is the acquisition of Optimum Healthcare IT expected to have on Infosys' healthcare business?,"The acquisition of Optimum Healthcare IT is expected to significantly enhance Infosys' healthcare capabilities by strengthening its presence in the healthcare provider segment. It will add new clients and relationships, expand technology capabilities, and create synergies across new buying centers. The combined offerings will enable healthcare providers to access Infosys Topaz AI offerings and Infosys Cobalt cloud offerings, supporting improved patient experiences through data-driven, personalized care while driving greater operational efficiency and cost optimization. Overall, this acquisition is aligned with Infosys' strategy for large-scale healthcare digital transformation and consulting.","The acquisition is expected to strengthen Infosys’ healthcare capabilities, significantly enhance its presence in the provider segment, add new clients and relationships, expand technology capabilities, and create synergies across new buying centers. By combining Optimum’s provider expertise with Infosys Topaz and Infosys Cobalt, Infosys aims to accelerate end-to-end cloud, data, and digital transformation for healthcare providers at scale.",0.5394736842105263,0.9385055303573608
4,What ERP transformation work is Infosys carrying out for IHH Healthcare?,"Infosys is carrying out a multi-year, enterprise-wide ERP transformation program for IHH Healthcare, which aims to standardize and harmonize business processes across its markets, starting with Hong Kong, Malaysia, and Singapore. This transformation will help streamline operations, enhance agility and scalability, optimize costs, and strengthen regulatory compliance. Infosys will integrate critical functions such as finance, procurement, supply chain, human capital management, and enterprise performance management, providing IHH with enhanced real-time data visibility and decision intelligence to support faster, insight-led decision-making.","Infosys is carrying out a multi-year, enterprise-wide, AI-powered ERP transformation for IHH Healthcare. The work includes standardizing and harmonizing business processes across IHH’s markets, starting with Hong Kong, Malaysia, and Singapore; consolidating legacy, siloed ERP systems; and integrating finance, procurement, supply chain, human capital management, and enterprise performance management. Powered by Infosys Topaz, the program is intended to embed AI into core workflows, improve real-time data visibility and decision intelligence, streamline operations, increase agility and scalability, optimize costs, and strengthen regulatory compliance.",0.5581395348837209,0.9219784140586853
5,Why was Infosys recognized as a Leader in Everest Group's Adobe Services PEAK Matrix assessment?,"Infosys was recognized as a Leader and Star Performer in Everest Group's Adobe Services PEAK Matrix Assessment 2025 for its ability to deliver large-scale, complex, and end-to-end Adobe programs. This recognition was based on its remarkable growth, delivery excellence, and client impact within the global Adobe services ecosystem. Infosys demonstrated robust market adoption, visible growth in Adobe services revenue, and expanded client traction across North America and Europe.","Infosys was recognized as a Leader and Star Performer for its remarkable growth, delivery excellence, and client impact in the global Adobe services ecosystem. It demonstrated robust market adoption, visible growth in Adobe services revenue, expanded client traction across North America and Europe, and the ability to deliver large-scale, complex, end-to-end Adobe programs supported by advisory depth, global delivery networks, certified talent pools, and broad product specializations. Its AI-amplified marketing suite, Infosys Aster, was also highlighted for excellence in capability, innovation, and client impact.",0.5125000000000001,0.8401341438293457
6,What services will Infosys provide under its expanded partnership with GlobalFoundries?,"Infosys will manage GlobalFoundries' end-to-end application, infrastructure, data, and service desk operations as part of its expanded partnership.","Infosys will deliver AI-led managed services across GlobalFoundries’ enterprise IT landscape, managing end-to-end application, infrastructure, data, and service desk operations.",0.6511627906976744,0.7639578580856323
7,How is Infosys helping DNB modernize its financial crime management platform?,"Infosys is helping DNB modernize its financial crime management platform by transforming fragmented, legacy systems into a unified, intelligence-driven, cloud-native platform using the NICE Actimize X-Sight Enterprise platform. This involves consolidating key functions such as customer and payment screening, customer due diligence, and transaction and fraud monitoring onto a single, scalable SaaS platform with unified enterprise case management. Infosys will implement AI-driven capabilities to enhance risk insights, improve detection accuracy, and strengthen regulatory compliance, thereby enabling advanced automation and improving response times to regulatory demands.","Infosys is helping DNB modernize its financial crime management platform by transforming fragmented legacy systems into a unified, intelligence-driven, cloud-native platform using NICE Actimize X-Sight Enterprise. As systems integration partner, Infosys will lead enterprise architecture design, platform integration, and data migration, consolidating customer and payment screening, customer due diligence, transaction monitoring, fraud monitoring, and enterprise case management onto a single scalable SaaS platform. The modernization is intended to improve risk insights, detection accuracy, multi-jurisdiction regulatory compliance, automation, investigations, and response time to regulatory demands.",0.6892655367231639,0.9308015704154968
8,"What exactly is Infosys Topaz Fabric, and what business problems is it designed to solve?","Infosys Topaz Fabric is a stack of layered, composable, open and interoperable data infrastructure, models, agents, flows, and AI apps that helps unify and accelerate IT service delivery across the enterprise landscape. It is a purpose-built agentic services suite consisting of a multi-layer AI fabric that integrates infrastructure, models, data, applications, and workflows into a cohesive, agent-ready ecosystem.

It is designed to solve several business problems, including:

1. Simplifying access to services-as-software, both integrated and modular, to unlock enterprise value and reimagine IT processes.
2. Avoiding vendor lock-ins while leveraging existing IT investments.
3. Delivering high-quality IT services with exponential speed and accuracy through AI agents that operate with humans in the loop.
4. Enhancing productivity, software engineering, AI governance, and time-to-market by standardizing and automating the end-to-end software delivery lifecycle.
5. Supporting large-scale modernization and transformation programs in complex, high-scale, and regulated environments by providing context-aware intelligence and automation into software delivery.","Infosys Topaz Fabric is a layered, composable, open, and interoperable stack of data infrastructure, models, agents, flows, and AI apps for enterprise IT service delivery. It provides integrated and modular services-as-software through a one-shop model, with 50+ purpose-built IT operations agents and out-of-the-box integration with 9 enterprise platforms.

It is designed to help enterprises unify and accelerate IT service delivery, reimagine IT processes, build on existing IT investments, avoid vendor lock-ins, and accelerate value from enterprise AI transformation programs. It supports IT operations, transformation services, quality engineering, and cybersecurity, using AI agents with humans in the loop to automate or eliminate tasks, augment human work, improve speed and accuracy, strengthen resilience, increase automation for application and infrastructure support, and improve user experience.",0.38383838383838387,0.9300320744514465
9,"What was the issue behind the DGGI GST notice received by Infosys, and how did the company respond?","The issue behind the DGGI GST notice received by Infosys was that the services provided by the Company's overseas branches were alleged not to be export of services, which rendered the GST refund claimed by the Company allegedly erroneous. In response, Infosys provided relevant information to DGGI, had meetings with DGGI officials, sought additional information and time to respond to a pre-show cause, and subsequently filed a Writ Petition in the Hon'ble High Court of Karnataka challenging the legitimacy of the show cause notice.","DGGI alleged that services provided by Infosys’s overseas branches were not exports of services, making the company’s GST refund claim allegedly erroneous. The show cause notice was for Rs 414.88 crore, excluding interest and penalties.

Infosys said it had provided relevant information, met DGGI officials, sought additional documents and time after the pre-show cause notice, and later filed a writ petition in the Karnataka High Court on 19 September 2025 challenging the legitimacy of the show cause notice. It also stated that there was no tax demand against the company as of the statement date and reiterated its GST compliance.",0.5130890052356021,0.9265280961990356
10,What new capabilities does the Living Labs center in Hubballi add to Infosys' delivery network?,I could not find this information in the provided documents.,"It adds advanced digital delivery capabilities in AI, cloud computing, cybersecurity, engineering services, SAP, and space technology, with an AI-first Living Labs setup to help global clients accelerate innovation, future-proof their businesses, and transform industries across manufacturing, financial services, retail, and healthcare.",0.037037037037037035,0.046354345977306366
